CEP,CEP_Formatado,UF,Cidade_Referencia,Regiao
29129-025,29129025,PR,Curitiba,Sul
04917-180,4917180,PR,Curitiba,Sul
05656-010,5656010,PR,Curitiba,Sul
78053-751,78053751,PR,Maringá,Sul
29650-000,29650000,PR,Curitiba,Sul
74890-690,74890690,PR,Curitiba,Sul
89227-414,89227414,PR,Maringá,Sul
69900-688,69900688,PR,Curitiba,Sul
29313-223,29313223,PR,Londrina,Sul
04230-000,4230000,PR,Curitiba,Sul
83705-175,83705175,PR,Curitiba,Sul
66055-280,66055280,PR,Curitiba,Sul
91910-530,91910530,PR,Londrina,Sul
22795-090,22795090,PR,Curitiba,Sul
18185-000,18185000,PR,Maringá,Sul
83015-460,83015460,PR,Curitiba,Sul
37704-001,37704001,PR,Curitiba,Sul
47800-049,47800049,PR,Curitiba,Sul
06786-480,6786480,PR,Curitiba,Sul
13563-470,13563470,PR,Curitiba,Sul
20720-000,20720000,PR,Maringá,Sul
83820-381,83820381,PR,Maringá,Sul
07124-100,7124100,PR,Londrina,Sul
72007-665,72007665,PR,Curitiba,Sul
29650-000,29650000,PR,Curitiba,Sul
56565-000,56565000,PR,Curitiba,Sul
40270-900,40270900,PR,Londrina,Sul
01212-002,1212002,PR,Curitiba,Sul
04414-100,4414100,PR,Curitiba,Sul
53437-380,53437380,PR,Curitiba,Sul
01231-020,1231020,PR,Curitiba,Sul
82410-390,82410390,PR,Curitiba,Sul
88140-000,88140000,PR,Curitiba,Sul
08771-110,8771110,PR,Curitiba,Sul
29060-390,29060390,PR,Curitiba,Sul
88115-270,88115270,PR,Curitiba,Sul
55900-000,55900000,PR,Curitiba,Sul
07178-001,7178001,PR,Curitiba,Sul
08745-575,8745575,PR,Curitiba,Sul
14060-448,14060448,PR,Curitiba,Sul
01231-011,1231011,PR,Londrina,Sul
13847-136,13847136,PR,Curitiba,Sul
42801-873,42801873,PR,Londrina,Sul
03319-002,3319002,PR,Maringá,Sul
04106-001,4106001,PR,Maringá,Sul
48445-000,48445000,PR,Curitiba,Sul
04811-210,4811210,PR,Maringá,Sul
91530-440,91530440,PR,Curitiba,Sul
89900-000,89900000,PR,Curitiba,Sul
08032-570,8032570,PR,Curitiba,Sul
06404-325,6404325,PR,Curitiba,Sul
06385-440,6385440,PR,Curitiba,Sul
04468-080,4468080,PR,Curitiba,Sul
72120-120,72120120,PR,Maringá,Sul
78695-000,78695000,PR,Londrina,Sul
03058-060,3058060,PR,Curitiba,Sul
82100-240,82100240,PR,Londrina,Sul
13901-684,13901684,PR,Londrina,Sul
13349-152,13349152,PR,Curitiba,Sul
05734-140,5734140,PR,Londrina,Sul
13348-744,13348744,PR,Londrina,Sul
77006-052,77006052,PR,Curitiba,Sul
12062-580,12062580,PR,Maringá,Sul
78780-000,78780000,PR,Curitiba,Sul
49000-239,49000239,PR,Curitiba,Sul
89114-308,89114308,PR,Curitiba,Sul
38446-087,38446087,PR,Maringá,Sul
09121-587,9121587,PR,Curitiba,Sul
01306-010,1306010,PR,Curitiba,Sul
09185-270,9185270,PR,Curitiba,Sul
32143-310,32143310,PR,Londrina,Sul
80010-100,80010100,PR,Curitiba,Sul
11704-790,11704790,PR,Londrina,Sul
78250-000,78250000,PR,Maringá,Sul
08539-009,853900,PR,Londrina,Sul
04107-001,4107001,PR,Curitiba,Sul
09520-310,9520310,PR,Curitiba,Sul
06140-180,6140180,PR,Curitiba,Sul
78065-050,78065050,PR,Maringá,Sul
89239-565,89239565,PR,Curitiba,Sul
14110-000,14110000,PR,Curitiba,Sul
08610-050,8610050,PR,Maringá,Sul
06412-140,6412140,PR,Curitiba,Sul
70767-520,70767520,PR,Curitiba,Sul
13272-106,13272106,PR,Curitiba,Sul
18046-161,18046161,PR,Curitiba,Sul
02758-030,2758030,PR,Curitiba,Sul
13046-550,13046550,PR,Curitiba,Sul
02065-040,2065040,PR,Londrina,Sul
61700-000,61700000,PR,Curitiba,Sul
05763-470,5763470,PR,Curitiba,Sul
35404-056,35404056,PR,Curitiba,Sul
09732-520,9732520,PR,Maringá,Sul
06770-100,6770100,PR,Maringá,Sul
04332-100,4332100,PR,Curitiba,Sul
03336-010,3336010,PR,Curitiba,Sul
07500-000,7500000,PR,Curitiba,Sul
30860-330,30860330,PR,Maringá,Sul
13050-462,13050462,PR,Curitiba,Sul
72880-548,72880548,PR,Curitiba,Sul
35630-226,35630226,PR,Curitiba,Sul
90840-350,90840350,PR,Londrina,Sul
35500-171,35500171,PR,Curitiba,Sul
06434-020,6434020,PR,Curitiba,Sul
12052-130,12052130,PR,Curitiba,Sul
09784-505,9784505,PR,Curitiba,Sul
93546-012,93546012,PR,Maringá,Sul
85806-135,85806135,PR,Curitiba,Sul
99025-380,99025380,PR,Curitiba,Sul
14085-470,14085470,PR,Maringá,Sul
04375-050,4375050,PR,Curitiba,Sul
92020-294,92020294,PR,Curitiba,Sul
09920-450,9920450,PR,Maringá,Sul
88535-000,88535000,PR,Londrina,Sul
13145-706,13145706,PR,Curitiba,Sul
35170-150,35170150,PR,Curitiba,Sul
13050-545,13050545,PR,Curitiba,Sul
04004-000,4004000,PR,Londrina,Sul
04704-000,4704000,PR,Londrina,Sul
06150-360,6150360,PR,Curitiba,Sul
31130-000,31130000,PR,Maringá,Sul
14060-420,14060420,PR,Curitiba,Sul
06253-180,6253180,PR,Londrina,Sul
18051-280,18051280,PR,Curitiba,Sul
38408-220,38408220,PR,Curitiba,Sul
20970-600,20970600,PR,Curitiba,Sul
06663-500,6663500,PR,Londrina,Sul
76807-784,76807784,PR,Curitiba,Sul
06763-040,6763040,PR,Curitiba,Sul
18132-380,18132380,PR,Maringá,Sul
91770-220,91770220,PR,Curitiba,Sul
50070-095,50070095,PR,Curitiba,Sul
93700-000,93700000,PR,Londrina,Sul
09340-730,9340730,PR,Londrina,Sul
82310-110,82310110,PR,Maringá,Sul
22060-001,22060001,PR,Curitiba,Sul
31520-450,31520450,PR,Londrina,Sul
30535-590,30535590,PR,Maringá,Sul
81460-287,81460287,PR,Curitiba,Sul
78870-000,78870000,PR,Maringá,Sul
98170-000,98170000,PR,Curitiba,Sul
50720-605,50720605,PR,Curitiba,Sul
68743-220,68743220,PR,Curitiba,Sul
09791-805,9791805,PR,Curitiba,Sul
13482-348,13482348,PR,Curitiba,Sul
69058-124,69058124,PR,Curitiba,Sul
08665-200,8665200,PR,Londrina,Sul
09812-210,9812210,PR,Curitiba,Sul
95912-068,95912068,PR,Curitiba,Sul
76300-000,76300000,PR,Londrina,Sul
03873-000,3873000,PR,Curitiba,Sul
74810-030,74810030,PR,Londrina,Sul
71600-780,71600780,PR,Curitiba,Sul
49480-000,49480000,PR,Curitiba,Sul
82315-130,82315130,PR,Curitiba,Sul
18061-220,18061220,PR,Curitiba,Sul
15090-190,15090190,PR,Curitiba,Sul
14092-465,14092465,PR,Curitiba,Sul
29175-492,29175492,PR,Curitiba,Sul
15601-060,15601060,PR,Londrina,Sul
97030-766,97030766,PR,Londrina,Sul
24445-710,24445710,PR,Curitiba,Sul
06434-000,6434000,PR,Curitiba,Sul
30280-530,30280530,PR,Curitiba,Sul
13563-890,13563890,PR,Curitiba,Sul
13219-816,13219816,PR,Maringá,Sul
01534-001,1534001,PR,Curitiba,Sul
03348-030,3348030,PR,Maringá,Sul
04521-022,4521022,PR,Curitiba,Sul
69900-688,69900688,PR,Curitiba,Sul
02235-001,2235001,PR,Londrina,Sul
39402-060,39402060,PR,Curitiba,Sul
09852-435,9852435,PR,Londrina,Sul
69090-640,69090640,PR,Maringá,Sul
19640-322,19640322,PR,Curitiba,Sul
32450-000,32450000,PR,Curitiba,Sul
69900-688,69900688,PR,Curitiba,Sul
05143-210,5143210,PR,Curitiba,Sul
71539-080,71539080,PR,Curitiba,Sul
55004-570,55004570,PR,Curitiba,Sul
55590-000,55590000,PR,Curitiba,Sul
22783-123,22783123,PR,Londrina,Sul
03726-050,3726050,PR,Curitiba,Sul
89228-783,89228783,PR,Curitiba,Sul
06856-860,6856860,PR,Londrina,Sul
18915-460,18915460,PR,Curitiba,Sul
81880-450,81880450,PR,Curitiba,Sul
06440-000,6440000,PR,Curitiba,Sul
13327-870,13327870,PR,Curitiba,Sul
95166-000,95166000,PR,Curitiba,Sul
72405-135,72405135,PR,Curitiba,Sul
59650-000,59650000,PR,Curitiba,Sul
03930-100,3930100,PR,Curitiba,Sul
79950-000,79950000,PR,Curitiba,Sul
81470-306,81470306,PR,Curitiba,Sul
38702-322,38702322,PR,Curitiba,Sul
69040-903,69040903,PR,Curitiba,Sul
32040-500,32040500,PR,Curitiba,Sul
76873-580,76873580,PR,Curitiba,Sul
06440-020,6440020,PR,Curitiba,Sul
60165-082,60165082,PR,Curitiba,Sul
13617-400,13617400,PR,Curitiba,Sul
89400-000,89400000,PR,Curitiba,Sul
55295-380,55295380,PR,Curitiba,Sul
55014-467,55014467,PR,Curitiba,Sul
04750-030,4750030,PR,Curitiba,Sul
11350-250,11350250,PR,Londrina,Sul
06871-030,6871030,PR,Curitiba,Sul
72879-274,72879274,PR,Maringá,Sul
88332-060,88332060,PR,Curitiba,Sul
03112-090,3112090,PR,Maringá,Sul
14807-085,14807085,RJ,Rio de Janeiro,Sudeste
66030-000,66030000,RJ,Volta Redonda,Sudeste
03728-005,3728005,RJ,Rio de Janeiro,Sudeste
01303-001,1303001,RJ,Rio de Janeiro,Sudeste
06404-326,6404326,RJ,Rio de Janeiro,Sudeste
06783-050,6783050,RJ,Rio de Janeiro,Sudeste
21740-030,21740030,RJ,Rio de Janeiro,Sudeste
55665-000,55665000,RJ,Rio de Janeiro,Sudeste
61658-032,61658032,RJ,Rio de Janeiro,Sudeste
05164-140,5164140,RJ,Rio de Janeiro,Sudeste
35901-236,35901236,RJ,Nova Iguaçu,Sudeste
72322-582,72322582,RJ,Rio de Janeiro,Sudeste
78500-000,78500000,RJ,Rio de Janeiro,Sudeste
38070-696,38070696,RJ,Rio de Janeiro,Sudeste
69305-340,69305340,RJ,Rio de Janeiro,Sudeste
29102-280,29102280,RJ,Rio de Janeiro,Sudeste
03170-050,3170050,RJ,Rio de Janeiro,Sudeste
80050-370,80050370,RJ,Volta Redonda,Sudeste
09321-013,9321013,RJ,Rio de Janeiro,Sudeste
35681-236,35681236,RJ,Rio de Janeiro,Sudeste
07075-060,7075060,RJ,Rio de Janeiro,Sudeste
88115-677,88115677,RJ,Nova Iguaçu,Sudeste
13216-776,13216776,RJ,Rio de Janeiro,Sudeste
02471-060,2471060,RJ,Rio de Janeiro,Sudeste
15503-362,15503362,RJ,Rio de Janeiro,Sudeste
14026-567,14026567,RJ,Rio de Janeiro,Sudeste
09770-200,9770200,RJ,Rio de Janeiro,Sudeste
06414-025,6414025,RJ,Nova Iguaçu,Sudeste
90850-130,90850130,RJ,Rio de Janeiro,Sudeste
69037-175,69037175,RJ,Duque de Caxias,Sudeste
76400-000,76400000,RJ,Rio de Janeiro,Sudeste
11605-503,11605503,RJ,Rio de Janeiro,Sudeste
38407-746,38407746,RJ,Rio de Janeiro,Sudeste
85685-000,85685000,RJ,Nova Iguaçu,Sudeste
09761-050,9761050,RJ,Rio de Janeiro,Sudeste
42709-290,42709290,RJ,Niterói,Sudeste
18077-320,18077320,RJ,Rio de Janeiro,Sudeste
32185-738,32185738,RJ,Nova Iguaçu,Sudeste
13284-204,13284204,RJ,Rio de Janeiro,Sudeste
40220-330,40220330,RJ,Rio de Janeiro,Sudeste
03260-000,3260000,RJ,Rio de Janeiro,Sudeste
72310-203,72310203,RJ,Rio de Janeiro,Sudeste
04651-020,4651020,RJ,Rio de Janeiro,Sudeste
13322-242,13322242,RJ,Rio de Janeiro,Sudeste
09170-270,9170270,RJ,Rio de Janeiro,Sudeste
72270-410,72270410,RJ,Rio de Janeiro,Sudeste
88110-685,88110685,RJ,Rio de Janeiro,Sudeste
02404-000,2404000,RJ,Rio de Janeiro,Sudeste
08461-650,8461650,RJ,Rio de Janeiro,Sudeste
55020-360,55020360,RJ,Rio de Janeiro,Sudeste
69900-688,69900688,RJ,Volta Redonda,Sudeste
41650-470,41650470,RJ,Campos dos Goytacazes,Sudeste
89027-201,89027201,RJ,Rio de Janeiro,Sudeste
04831-110,4831110,RJ,Duque de Caxias,Sudeste
06132-010,6132010,RJ,Rio de Janeiro,Sudeste
13326-120,13326120,RJ,Duque de Caxias,Sudeste
01210-000,1210000,RJ,Rio de Janeiro,Sudeste
07417-200,7417200,RJ,Volta Redonda,Sudeste
04141-000,4141000,RJ,Rio de Janeiro,Sudeste
05890-030,5890030,RJ,Rio de Janeiro,Sudeste
04746-115,4746115,RJ,Duque de Caxias,Sudeste
71979-000,71979000,RJ,Rio de Janeiro,Sudeste
18090-360,18090360,RJ,Rio de Janeiro,Sudeste
76821-344,76821344,RJ,Duque de Caxias,Sudeste
14805-045,14805045,RJ,Rio de Janeiro,Sudeste
74343-240,74343240,RJ,Duque de Caxias,Sudeste
06162-200,6162200,RJ,Rio de Janeiro,Sudeste
03112-030,3112030,RJ,Duque de Caxias,Sudeste
78850-000,78850000,RJ,Rio de Janeiro,Sudeste
06010-130,6010130,RJ,Campos dos Goytacazes,Sudeste
05186-007,5186007,RJ,Rio de Janeiro,Sudeste
14230-000,14230000,RJ,Rio de Janeiro,Sudeste
12908-710,12908710,RJ,Rio de Janeiro,Sudeste
90040-000,90040000,RJ,Volta Redonda,Sudeste
09450-000,9450000,RJ,Nova Iguaçu,Sudeste
73906-102,73906102,RJ,Duque de Caxias,Sudeste
32686-038,32686038,RJ,Duque de Caxias,Sudeste
04895-130,4895130,RJ,Duque de Caxias,Sudeste
05088-060,5088060,RJ,Duque de Caxias,Sudeste
88132-700,88132700,RJ,Niterói,Sudeste
85936-334,85936334,RJ,Niterói,Sudeste
12602-290,12602290,RJ,Rio de Janeiro,Sudeste
61895-000,61895000,RJ,Volta Redonda,Sudeste
05883-030,5883030,RJ,Rio de Janeiro,Sudeste
59131-510,59131510,RJ,Rio de Janeiro,Sudeste
68740-580,68740580,RJ,Duque de Caxias,Sudeste
13506-056,13506056,RJ,Rio de Janeiro,Sudeste
23550-393,23550393,RJ,Rio de Janeiro,Sudeste
04832-050,4832050,RJ,Rio de Janeiro,Sudeste
85812-055,85812055,RJ,Niterói,Sudeste
09751-250,9751250,RJ,Rio de Janeiro,Sudeste
12704-095,12704095,RJ,Duque de Caxias,Sudeste
85020-250,85020250,RJ,Rio de Janeiro,Sudeste
08391-290,8391290,RJ,Rio de Janeiro,Sudeste
22795-485,22795485,RJ,Nova Iguaçu,Sudeste
68627-080,68627080,RJ,Rio de Janeiro,Sudeste
11700-190,11700190,RJ,Nova Iguaçu,Sudeste
29590-000,29590000,RJ,Rio de Janeiro,Sudeste
88337-440,88337440,RJ,Rio de Janeiro,Sudeste
69917-750,69917750,RJ,Rio de Janeiro,Sudeste
23065-200,23065200,RJ,Niterói,Sudeste
08151-602,8151602,RJ,Rio de Janeiro,Sudeste
87704-606,87704606,RJ,Rio de Janeiro,Sudeste
38413-273,38413273,RJ,Volta Redonda,Sudeste
88106-460,88106460,RJ,Rio de Janeiro,Sudeste
87555-000,87555000,RJ,Rio de Janeiro,Sudeste
31160-370,31160370,RJ,Volta Redonda,Sudeste
34006-065,34006065,RJ,Rio de Janeiro,Sudeste
81550-340,81550340,RJ,Niterói,Sudeste
06600-215,6600215,RJ,Niterói,Sudeste
32115-050,32115050,RJ,Rio de Janeiro,Sudeste
03312-052,3312052,RJ,Rio de Janeiro,Sudeste
91170-200,91170200,RJ,Volta Redonda,Sudeste
68790-000,68790000,RJ,Rio de Janeiro,Sudeste
06419-220,6419220,RJ,Rio de Janeiro,Sudeste
11630-000,11630000,RJ,Rio de Janeiro,Sudeste
88345-509,88345509,RJ,Rio de Janeiro,Sudeste
13349-842,13349842,RJ,Rio de Janeiro,Sudeste
05863-300,5863300,RJ,Rio de Janeiro,Sudeste
39408-117,39408117,RJ,Rio de Janeiro,Sudeste
95166-000,95166000,RJ,Rio de Janeiro,Sudeste
72329-103,72329103,RJ,Rio de Janeiro,Sudeste
41620-620,41620620,RJ,Rio de Janeiro,Sudeste
90040-140,90040140,RJ,Rio de Janeiro,Sudeste
05642-020,5642020,RJ,Duque de Caxias,Sudeste
18087-645,18087645,RJ,Campos dos Goytacazes,Sudeste
78040-170,78040170,RJ,Rio de Janeiro,Sudeste
06826-150,6826150,RJ,Rio de Janeiro,Sudeste
93022-280,93022280,RJ,Rio de Janeiro,Sudeste
62875-000,62875000,RJ,Nova Iguaçu,Sudeste
14180-000,14180000,RJ,Duque de Caxias,Sudeste
13844-301,13844301,RJ,Rio de Janeiro,Sudeste
14500-000,14500000,RJ,Rio de Janeiro,Sudeste
45990-286,45990286,RJ,Volta Redonda,Sudeste
76812-170,76812170,RJ,Volta Redonda,Sudeste
11262-141,11262141,RJ,Volta Redonda,Sudeste
07096-120,7096120,RJ,Rio de Janeiro,Sudeste
37570-000,37570000,RJ,Rio de Janeiro,Sudeste
06343-190,6343190,RJ,Nova Iguaçu,Sudeste
14412-442,14412442,RJ,Duque de Caxias,Sudeste
75143-565,75143565,RJ,Rio de Janeiro,Sudeste
13032-365,13032365,RJ,Rio de Janeiro,Sudeste
03663-020,3663020,RJ,Rio de Janeiro,Sudeste
76380-000,76380000,RJ,Duque de Caxias,Sudeste
06859-495,6859495,RJ,Rio de Janeiro,Sudeste
04624-050,4624050,RJ,Rio de Janeiro,Sudeste
17012-020,17012020,RJ,Rio de Janeiro,Sudeste
05665-010,5665010,RJ,Rio de Janeiro,Sudeste
29055-350,29055350,RJ,Rio de Janeiro,Sudeste
11259-033,11259033,RJ,Rio de Janeiro,Sudeste
73401-215,73401215,RJ,Rio de Janeiro,Sudeste
35938-000,35938000,RJ,Rio de Janeiro,Sudeste
28020-465,28020465,RJ,Nova Iguaçu,Sudeste
26022-730,26022730,RJ,Niterói,Sudeste
30170-121,30170121,RJ,Rio de Janeiro,Sudeste
11441-900,11441900,RJ,Rio de Janeiro,Sudeste
72901-572,72901572,RJ,Rio de Janeiro,Sudeste
14680-000,14680000,RJ,Rio de Janeiro,Sudeste
88220-000,88220000,RJ,Rio de Janeiro,Sudeste
09220-410,9220410,RJ,Rio de Janeiro,Sudeste
40140-330,40140330,RJ,Rio de Janeiro,Sudeste
31150-000,31150000,RJ,Rio de Janeiro,Sudeste
18150-000,18150000,RJ,Rio de Janeiro,Sudeste
12530-000,12530000,RJ,Rio de Janeiro,Sudeste
07135-313,7135313,RJ,Rio de Janeiro,Sudeste
02611-003,2611003,RJ,Rio de Janeiro,Sudeste
01004-010,1004010,RJ,Rio de Janeiro,Sudeste
14029-150,14029150,RJ,Rio de Janeiro,Sudeste
13301-280,13301280,RJ,Campos dos Goytacazes,Sudeste
12912-480,12912480,RJ,Rio de Janeiro,Sudeste
13284-156,13284156,RJ,Volta Redonda,Sudeste
01547-010,1547010,RJ,Rio de Janeiro,Sudeste
07262-090,7262090,RJ,Rio de Janeiro,Sudeste
16300-021,16300021,RJ,Volta Redonda,Sudeste
12945-580,12945580,RJ,Rio de Janeiro,Sudeste
82820-420,82820420,RJ,Rio de Janeiro,Sudeste
06735-182,6735182,RJ,Duque de Caxias,Sudeste
78690-000,78690000,RJ,Rio de Janeiro,Sudeste
55715-000,55715000,RJ,Rio de Janeiro,Sudeste
09210-050,9210050,RJ,Nova Iguaçu,Sudeste
59155-700,59155700,RJ,Rio de Janeiro,Sudeste
08032-500,8032500,RJ,Rio de Janeiro,Sudeste
14811-076,14811076,RJ,Rio de Janeiro,Sudeste
08240-010,8240010,RJ,Rio de Janeiro,Sudeste
72507-405,72507405,RJ,Nova Iguaçu,Sudeste
35585-000,35585000,RJ,Campos dos Goytacazes,Sudeste
13023-102,13023102,RJ,Rio de Janeiro,Sudeste
72862-329,72862329,RJ,Duque de Caxias,Sudeste
78556-796,78556796,RJ,Rio de Janeiro,Sudeste
74315-400,74315400,RJ,Niterói,Sudeste
13976-156,13976156,RJ,Rio de Janeiro,Sudeste
12903-435,12903435,RJ,Rio de Janeiro,Sudeste
13806-622,13806622,RJ,Rio de Janeiro,Sudeste
18523-374,18523374,RJ,Rio de Janeiro,Sudeste
14091-310,14091310,RJ,Nova Iguaçu,Sudeste
31255-150,31255150,RJ,Rio de Janeiro,Sudeste
18404-030,18404030,RJ,Rio de Janeiro,Sudeste
04018-002,4018002,RJ,Rio de Janeiro,Sudeste
78550-338,78550338,RJ,Campos dos Goytacazes,Sudeste
53110-430,53110430,RJ,Campos dos Goytacazes,Sudeste
22743-800,22743800,RJ,Rio de Janeiro,Sudeste
70803-140,70803140,RJ,Duque de Caxias,Sudeste
78053-178,78053178,RJ,Rio de Janeiro,Sudeste
29192-066,29192066,RJ,Rio de Janeiro,Sudeste
99050-073,99050073,RJ,Rio de Janeiro,Sudeste
74115-060,74115060,RJ,Rio de Janeiro,Sudeste
18015-000,18015000,RJ,Duque de Caxias,Sudeste
08730-805,8730805,RJ,Volta Redonda,Sudeste
81050-390,81050390,RJ,Rio de Janeiro,Sudeste
12294-360,12294360,RJ,Nova Iguaçu,Sudeste
95960-000,95960000,RJ,Rio de Janeiro,Sudeste
05815-085,5815085,RJ,Rio de Janeiro,Sudeste
69980-000,69980000,RJ,Duque de Caxias,Sudeste
07240-130,7240130,RJ,Niterói,Sudeste
60175-185,60175185,RJ,Rio de Janeiro,Sudeste
36350-000,36350000,RJ,Niterói,Sudeste
12242-790,12242790,RJ,Campos dos Goytacazes,Sudeste
44059-370,44059370,RJ,Volta Redonda,Sudeste
48705-000,48705000,RJ,Rio de Janeiro,Sudeste
30310-200,30310200,RJ,Rio de Janeiro,Sudeste
15953-000,15953000,RJ,Rio de Janeiro,Sudeste
04140-080,4140080,RJ,Rio de Janeiro,Sudeste
06145-126,6145126,RJ,Rio de Janeiro,Sudeste
02722-150,2722150,RJ,Campos dos Goytacazes,Sudeste
07161-320,7161320,RJ,Rio de Janeiro,Sudeste
50721-760,50721760,RJ,Rio de Janeiro,Sudeste
11704-000,11704000,RJ,Niterói,Sudeste
88067-425,88067425,RJ,Rio de Janeiro,Sudeste
83045-725,83045725,RJ,Rio de Janeiro,Sudeste
04812-190,4812190,RJ,Volta Redonda,Sudeste
04153-170,4153170,RJ,Rio de Janeiro,Sudeste
11618-538,11618538,RJ,Rio de Janeiro,Sudeste
88117-330,88117330,RJ,Rio de Janeiro,Sudeste
15081-577,15081577,RJ,Rio de Janeiro,Sudeste
66055-200,66055200,RJ,Rio de Janeiro,Sudeste
85869-380,85869380,RJ,Rio de Janeiro,Sudeste
49500-028,49500028,RJ,Niterói,Sudeste
18400-060,18400060,RJ,Rio de Janeiro,Sudeste
02965-050,2965050,RJ,Rio de Janeiro,Sudeste
70680-400,70680400,RJ,Rio de Janeiro,Sudeste
78530-000,78530000,RJ,Rio de Janeiro,Sudeste
91540-000,91540000,RJ,Nova Iguaçu,Sudeste
09110-680,9110680,RJ,Nova Iguaçu,Sudeste
29146-060,29146060,RJ,Duque de Caxias,Sudeste
55950-000,55950000,RJ,Rio de Janeiro,Sudeste
29025-685,29025685,RJ,Rio de Janeiro,Sudeste
54430-440,54430440,RJ,Nova Iguaçu,Sudeste
66620-200,66620200,RJ,Duque de Caxias,Sudeste
22220-030,22220030,RJ,Rio de Janeiro,Sudeste
17890-364,17890364,RJ,Rio de Janeiro,Sudeste
76560-000,76560000,RJ,Rio de Janeiro,Sudeste
23970-000,23970000,RJ,Rio de Janeiro,Sudeste
78760-000,78760000,RJ,Rio de Janeiro,Sudeste
09050-170,9050170,RJ,Nova Iguaçu,Sudeste
88870-000,88870000,RJ,Nova Iguaçu,Sudeste
07082-050,7082050,RJ,Rio de Janeiro,Sudeste
46446-000,46446000,RJ,Campos dos Goytacazes,Sudeste
84640-000,84640000,RJ,Volta Redonda,Sudeste
18061-310,18061310,RJ,Rio de Janeiro,Sudeste
89610-000,89610000,RJ,Niterói,Sudeste
29285-000,29285000,RJ,Rio de Janeiro,Sudeste
80045-125,80045125,RJ,Niterói,Sudeste
91788-070,91788070,RJ,Rio de Janeiro,Sudeste
35424-297,35424297,RJ,Campos dos Goytacazes,Sudeste
06386-540,6386540,RJ,Rio de Janeiro,Sudeste
38842-108,38842108,RJ,Volta Redonda,Sudeste
09371-160,9371160,RJ,Rio de Janeiro,Sudeste
35530-000,35530000,RJ,Campos dos Goytacazes,Sudeste
94935-130,94935130,RJ,Rio de Janeiro,Sudeste
68660-000,68660000,RJ,Rio de Janeiro,Sudeste
66821-000,66821000,RJ,Rio de Janeiro,Sudeste
74210-180,74210180,RJ,Rio de Janeiro,Sudeste
93542-330,93542330,RJ,Campos dos Goytacazes,Sudeste
59808-000,59808000,RJ,Rio de Janeiro,Sudeste
96755-000,96755000,RJ,Rio de Janeiro,Sudeste
14302-134,14302134,RJ,Rio de Janeiro,Sudeste
13035-610,13035610,RJ,Nova Iguaçu,Sudeste
03877-100,3877100,RJ,Rio de Janeiro,Sudeste
09210-000,9210000,RJ,Campos dos Goytacazes,Sudeste
71687-318,71687318,RJ,Rio de Janeiro,Sudeste
22421-022,22421022,RJ,Rio de Janeiro,Sudeste
03638-000,3638000,RJ,Rio de Janeiro,Sudeste
37838-044,37838044,RJ,Rio de Janeiro,Sudeste
30775-160,30775160,RJ,Rio de Janeiro,Sudeste
80620-010,80620010,RJ,Rio de Janeiro,Sudeste
62840-000,62840000,RJ,Campos dos Goytacazes,Sudeste
26032-830,26032830,RJ,Rio de Janeiro,Sudeste
38701-078,38701078,RJ,Rio de Janeiro,Sudeste
58042-020,58042020,RJ,Rio de Janeiro,Sudeste
03164-150,3164150,RJ,Volta Redonda,Sudeste
88850-000,88850000,RJ,Rio de Janeiro,Sudeste
26011-003,26011003,RJ,Duque de Caxias,Sudeste
11040-191,11040191,RJ,Rio de Janeiro,Sudeste
93420-400,93420400,RJ,Niterói,Sudeste
69060-000,69060000,RJ,Rio de Janeiro,Sudeste
66083-049,66083049,RJ,Rio de Janeiro,Sudeste
47014-307,4701430,RJ,Rio de Janeiro,Sudeste
03928-130,3928130,RJ,Rio de Janeiro,Sudeste
20730-340,20730340,RJ,Rio de Janeiro,Sudeste
85065-160,85065160,RJ,Rio de Janeiro,Sudeste
07043-030,7043030,RJ,Rio de Janeiro,Sudeste
13057-005,13057005,RJ,Volta Redonda,Sudeste
74492-215,74492215,RJ,Rio de Janeiro,Sudeste
68742-015,68742015,RJ,Rio de Janeiro,Sudeste
68523-000,68523000,RJ,Rio de Janeiro,Sudeste
51030-330,51030330,RJ,Rio de Janeiro,Sudeste
28252-934,2825293,RJ,Niterói,Sudeste
05206-805,5206805,RJ,Rio de Janeiro,Sudeste
29090-400,29090400,RJ,Rio de Janeiro,Sudeste
06447-010,6447010,RJ,Niterói,Sudeste
31870-180,31870180,RJ,Duque de Caxias,Sudeste
12216-590,12216590,RJ,Nova Iguaçu,Sudeste
05728-030,5728030,RJ,Duque de Caxias,Sudeste
81920-060,81920060,RJ,Rio de Janeiro,Sudeste
02835-040,2835040,RJ,Nova Iguaçu,Sudeste
07273-020,7273020,RJ,Rio de Janeiro,Sudeste
31615-460,31615460,RJ,Rio de Janeiro,Sudeste
01511-010,1511010,RJ,Campos dos Goytacazes,Sudeste
05782-370,5782370,RJ,Nova Iguaçu,Sudeste
83823-194,83823194,RJ,Volta Redonda,Sudeste
69915-413,69915413,RJ,Rio de Janeiro,Sudeste
53130-510,53130510,RJ,Rio de Janeiro,Sudeste
13050-055,13050055,RJ,Rio de Janeiro,Sudeste
29161-275,29161275,RJ,Rio de Janeiro,Sudeste
04304-010,4304010,RJ,Niterói,Sudeste
37704-315,37704315,RJ,Rio de Janeiro,Sudeste
68780-000,68780000,RJ,Rio de Janeiro,Sudeste
22753-005,22753005,RJ,Rio de Janeiro,Sudeste
